X,Y,fid,fclass,population,name,icon_url
5.5324465,22.7854543,"1",town,"92635",Tamanrasset,./0.png
2.4826132,27.1950331,"2",town,"32518",In Salah,./1.png
3.470596,36.758882,"3",town,"41685",Boumerdès,./1.png
3.556935,36.724986,"4",town,"21439",Thenia,./2.png
3.6012209,36.7864064,"5",town,"26408",Zemmouri,./2.png
3.5967523,36.5644827,"6",town,"59746",Lakhdaria ⵍⴻⵅⴹⴰⵔⵉⵢⴰ  At Ulmu  الأخضرية,./0.png
3.9587692,36.7333317,"7",town,"31382",Draâ Ben Khedda,./1.png
3.913104,36.915798,"8",town,"32954",Dellys,./1.png
2.8830889,30.5836683,"9",town,"40195",El Menia ⵍⴻⵎⵏⵉⵄⴰ المنيعة,./1.png
5.7717,19.5667239,"10",town,"7045",In Guezzam,./3.png
6.4421107,33.1105213,"11",town,"10330",Benaceur,./3.png
6.3527057,33.1267306,"12",town,"14179",M'Naguer,./4.png
4.5633795,35.0404431,"13",town,"0",Ben Srour,./3.png
2.6037738,35.5415407,"14",town,"13617",Chahbounia,./4.png
5.0644342,34.4254103,"15",town,"63237",Ouled Djellal,./0.png
0.2285923,29.2605117,"16",town,"33060",تيميمون,./1.png
3.1908953,36.747273,"17",town,"151950",Bordj El Kiffan,./0.png
3.050026,36.7394084,"18",town,"45345",Bir Mourad Raïs,./0.png
3.0299471,36.7689983,"19",town,"52582",El Biar,./0.png
3.1856596,36.721997,"20",town,"92000",Bab Ezzouar,./0.png
2.9753936,36.7796161,"21",town,"36191",Beni Messous,./1.png
2.9602382,36.7668415,"22",town,"80824",Chéraga,./0.png
2.9816495,36.7519699,"23",town,"35230",Dely Brahim,./1.png
2.9978257,36.7139578,"24",town,"0",Draria,./3.png
3.0265974,36.7024459,"25",town,"41690",Saoula,./1.png
3.0490708,36.7154602,"26",town,"77749",Birkhadem,./0.png
3.0801951,36.7024722,"27",town,"133247",Ain Naadja,./0.png
3.1374104,36.7212307,"28",town,"48869",El Harrach,./0.png
3.1126365,36.7200591,"29",town,"93289",Bachdjarrah,./0.png
2.9172738,36.1352805,"30",town,"60152",Berrouaghia,./0.png
2.750158,35.8863227,"31",town,"67813",Ksar El Boukhari,./0.png
3.0426168,36.8046778,"32",town,"43835",Bologhine,./0.png
-8.1397297,27.6718402,"33",town,"45966",Tinduf,./0.png
3.0497355,36.7906652,"34",town,"64732",Bab El Oued,./0.png
3.7175665,36.7432364,"35",town,"64820",Bordj Menaïel,./0.png
3.836858,36.7471933,"36",town,"22431",Naciria,./2.png
3.9012256,36.7446573,"37",town,"22838",Tadmaït,./2.png
6.6970014,36.2603681,"38",town,"90122",El Khroub,./0.png
3.0961318,36.6679961,"39",town,"116375",Baraki,./0.png
2.769126,36.6373657,"40",town,"54401",Kolea القليعة,./0.png
2.6899362,36.642758,"41",town,"41684",Bou Ismaïl,./1.png
2.9421031,36.6694089,"42",town,"0",Douera,./3.png
2.98177,36.6771868,"43",town,"27910",Khraïcia,./1.png
2.9125592,36.7079748,"44",town,"17105",Souidania,./4.png
2.8881755,36.75334,"45",town,"47664",Staoueli,./0.png
3.1565758,36.5627858,"46",town,"83819",Larbâa,./0.png
3.3718774,36.6368081,"47",town,"19356",Larbatache لربعطاش,./2.png
3.2222298,36.6198845,"48",town,"64978",Meftah,./0.png
3.0869346,36.5448652,"49",town,"51203",Bougara,./0.png
2.9918496,36.5322102,"50",town,"31070",Bouinan,./1.png
2.9084853,36.5184909,"51",town,"37461",Soumâa,./1.png
2.9128963,36.5755523,"52",town,"71446",Boufarik,./0.png
2.9985533,36.6449884,"53",town,"30575",Birtouta,./1.png
3.0076619,36.5780957,"54",town,"29660",Chebli,./1.png
3.0881462,36.6062538,"55",town,"0",Sidi Moussa سيدي موسى,./3.png
3.1013287,36.7412362,"56",town,"40698",Hussein Dey,./1.png
3.4433833,36.7547423,"57",town,"20705",Corso,./2.png
3.2824014,36.7364706,"58",town,"61984",Rouiba,./0.png
3.3421179,36.7387813,"59",town,"66215",Reghaïa,./0.png
3.408382,36.727203,"60",town,"71238",Boudouaou,./0.png
3.3384334,36.7130535,"61",town,"0",Ouled Haddadj,./3.png
3.3642924,36.6857409,"62",town,"45770",Ouled Moussa,./0.png
3.2579838,36.6808826,"63",town,"40546",Hammedi حمادي,./1.png
3.3085008,36.7727459,"64",town,"27565",H'raoua,./1.png
3.2926194,36.7912902,"65",town,"34501",Aïn Taya,./1.png
3.2501775,36.7907949,"66",town,"27900",Bordj El Bahri برج البحري,./1.png
2.9905236,36.7341624,"67",town,"41070",El Achour,./1.png
2.9216013,36.8038042,"68",town,"68354",Aïn Benian,./0.png
3.011517,36.8173356,"69",town,"28451",الرئيس حميدو,./1.png
2.9738147,36.8128133,"70",town,"23990",Hammamet,./2.png
4.6913091,36.6127914,"71",town,"13775",Sidi Aïch,./4.png
3.1681561,36.7044199,"72",town,"32062",Oued Smar,./1.png
-0.7539496,35.7400353,"73",town,"35687",Aïn Turk عين الترك,./1.png
